"spid","CCNAME","DNAME","CLNAME","FEACODE","SAREA","EFEACODE","CCODE","DCODE","CLCODE","EACODE","TOTAL","MALE","FEMALE","HH","CCODE1","DCODE1","CLCODE1","EACODE1","lon","lat","d","gmap"
12,"Grand Bassa","District # 3","Gaye Peter",91403162,"SA29",914003162,9,14,3,162,771,376,395,143,9,14,3,162,-9.82313759757227,6.15472419760993,4.25446800603869,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.15472419760993%2C-9.82313759757227&z=16"
12,"Grand Bassa","District # 3","Glow",91402012,"SA38",914002012,9,14,2,12,941,473,468,221,9,14,2,12,-9.83307008023848,6.1268394424859,2.50498879897998,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.1268394424859%2C-9.83307008023848&z=16"
13,"Grand Bassa","District # 3","Zeewein-B",91404012,"SA33",914014012,9,14,14,12,468,232,236,2,9,14,14,12,-9.7197173154857,6.17752210496345,2.80217340728069,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.17752210496345%2C-9.7197173154857&z=16"
13,"Grand Bassa","District # 3","L A C Plantation",91401042,"SA35",914001042,9,14,1,42,418,229,189,100,9,14,1,42,-9.6939314184067,6.13768319187591,2.65522835738436,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.13768319187591%2C-9.6939314184067&z=16"
13,"Grand Bassa","District # 3","L A C Plantation",91401032,"SA35",914001032,9,14,1,32,521,267,254,96,9,14,1,32,-9.72506874153507,6.14687277138223,2.48486086094218,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.14687277138223%2C-9.72506874153507&z=16"
14,"Grand Bassa","District # 4","Kpogblen",91605012,"SA19",916005012,9,16,5,12,339,179,160,66,9,16,5,12,-9.56969747276377,6.15639402778818,5.60842232714668,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.15639402778818%2C-9.56969747276377&z=16"
14,"Grand Bassa","District # 4","Kpogblen",91605022,"SA19",916005022,9,16,5,22,175,85,90,50,9,16,5,22,-9.54303930046376,6.14084481276812,2.3015149558297,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.14084481276812%2C-9.54303930046376&z=16"
14,"Grand Bassa","District # 4","Kpogblen",91605032,"SA19",916005032,9,16,5,32,449,200,249,109,9,16,5,32,-9.52171788191237,6.11780977033316,2.26638434240138,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.11780977033316%2C-9.52171788191237&z=16"
15,"Grand Bassa","Owensgrove","Giah",90201022,"SA85",902001022,9,2,1,22,390,189,201,96,9,2,1,22,-10.2890186927247,6.28220272940893,4.45247579521059,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.28220272940893%2C-10.2890186927247&z=16"
15,"Grand Bassa","Owensgrove","Giah",90201032,"SA85",902001032,9,2,1,32,189,104,85,61,9,2,1,32,-10.2562798093934,6.27218042604809,2.6342010913504,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.27218042604809%2C-10.2562798093934&z=16"
15,"Grand Bassa","District # 1","Worrwein",90410012,"SA74",904010012,9,4,10,12,630,313,317,117,9,4,10,12,-10.2541516571556,6.31134768432117,1.79665934168923,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.31134768432117%2C-10.2541516571556&z=16"
16,"Grand Bassa","District # 1","Doe",90405032,"SA75",904005032,9,4,5,32,260,156,104,57,9,4,5,32,-10.0597650668928,6.26684635149716,5.02376843550096,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.26684635149716%2C-10.0597650668928&z=16"
16,"Grand Bassa","District # 1","Doe",90405022,"SA75",904005022,9,4,5,22,263,154,109,86,9,4,5,22,-10.1100217343753,6.26450165033746,3.79739216623538,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.26450165033746%2C-10.1100217343753&z=16"
16,"Grand Bassa","District # 1","Sayewein",90406042,"SA73",904006042,9,4,6,42,439,231,208,106,9,4,6,42,-10.0845448841697,6.31781511296852,2.73784251145187,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.31781511296852%2C-10.0845448841697&z=16"
17,"Grand Bassa","District # 2","Marblee",90601092,"SA61",906001092,9,6,1,92,600,300,300,114,9,6,1,92,-9.90431484458806,6.26544499480579,5.49386112998553,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.26544499480579%2C-9.90431484458806&z=16"
17,"Grand Bassa","District # 2","Marblee",90601012,"SA62",906001012,9,6,1,12,757,371,386,136,9,6,1,12,-9.93918610939474,6.32030588111818,5.08156557417945,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.32030588111818%2C-9.93918610939474&z=16"
17,"Grand Bassa","District # 2","Marblee",90601102,"SA61",906001102,9,6,1,102,501,257,244,109,9,6,1,102,-9.98080239140344,6.26840313962032,2.75331586162205,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.26840313962032%2C-9.98080239140344&z=16"
18,"Grand Bassa","District # 2","Marblee",90601052,"SA62",906001052,9,6,1,52,448,212,236,90,9,6,1,52,-9.82092310404063,6.27654522399028,5.02070089648166,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.27654522399028%2C-9.82092310404063&z=16"
18,"Grand Bassa","District # 2","Gogowein",90606062,"SA63",906006062,9,6,6,62,702,323,379,133,9,6,6,62,-9.80305053345397,6.31844007317027,4.66723857065869,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.31844007317027%2C-9.80305053345397&z=16"
18,"Grand Bassa","District # 3","Dohnwein",91406032,"SA26",914006032,9,14,6,32,404,221,183,98,9,14,6,32,-9.74076294509266,6.31149818507254,3.36382100875985,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.31149818507254%2C-9.74076294509266&z=16"
19,"Grand Bassa","District # 3","Faitro",91405012,"SA27",914005012,9,14,5,12,516,277,239,87,9,14,5,12,-9.63462208225672,6.26921726520443,6.39057383916446,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.26921726520443%2C-9.63462208225672&z=16"
19,"Grand Bassa","District # 3","Faitro",91405022,"SA27",914005022,9,14,5,22,788,395,393,172,9,14,5,22,-9.67476845329303,6.26256113627242,3.00902247007782,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.26256113627242%2C-9.67476845329303&z=16"
19,"Grand Bassa","District # 3","Deegba",91407052,"SA25",914007052,9,14,7,52,1482,756,726,334,9,14,7,52,-9.63129383153691,6.31464614561526,2.17386634279179,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.31464614561526%2C-9.63129383153691&z=16"
20,"Grand Bassa","District # 3","Wodorgbah",91408012,"SA28",914008012,9,14,8,12,689,351,338,168,9,14,8,12,-9.52053163229197,6.25619682223208,6.96158333236851,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.25619682223208%2C-9.52053163229197&z=16"
